symbol,exchanges
FP,EN Paris
BB,EN Brussels
AV,Vienna
JP,"Fukuoka, Nagoya, Sapporo, Tokyo"
DC,"Copenhagen, FN Denmark"
HK,"-, Hong Kong"
AB,Saudi Arabia
US,"-, NASDAQ CM, NASDAQ GM, NASDAQ GS, NYSE Arca, NYSE MKT LLC, National, New York, OTC  US, OTC BB, OTC Markets"
FH,"FN Finland, Helsinki"
DU,Nasdaq Dubai
BZ,"BM&FBOVESPA;, Soma"
CN,"-, Canada Ntnl, Toronto, Venture"
RU,RTS
G4,GXG Markets
NL,Lagos
NO,"Norway OTC, Oslo"
LN,London
NA,EN Amsterdam
TT,"GreTai Sec M, Taiwan"
LI,London Intl
NZ,NZX
TI,Istanbul
RM,MICEX Main
TB,Bangkok
PM,Philippines
CI,Sant. Comerc
CH,"Shanghai, Shenzhen"
GR,"-, Berlin, Dusseldorf, Frankfurt, Hamburg, Hannover, Munich, Stutgt Wrnts, Stuttgart, Xetra, Xetra Stars, Xtra EU Strs"
CB,Bolsa Colomb
IT,Tel Aviv
SJ,Johannesburg
IJ,Indonesia
AU,"-, ASE, SIM VSE"
GA,"Athens, Athens Alt"
IN,"BSE India, Natl India"
VX,SIX Swiss Ex
ID,Dublin
SS,"AktieTorget, FN Stockholm, Nordic GM, Stockholm"
SP,"-, Singapore"
SW,"Berne, OTC-X BEKB, SIX Swiss Ex"
MK,Bursa Malays
KS,"-, KOSDAQ, Konex, Korea SE"
PZ,ISDX
UH,"Abu Dhabi, DFM"
SM,"Barcelona, Bilbao, Continuous, Madrid, Valencia"
IM,BrsaItaliana
MM,Mexico
